Time,Deslocamento,Força,Tensão à tração,Deformação à tração (Deslocamento),Strain Gauge 1/Axial Strain Ɛyy,Strain Gauge 1/Transverse Strain Ɛxx,Strain Gauge 1/Shear Strain Ɛxy,Strain Gauge 1/Minimum Normal Strain,Strain Gauge 1/Maximum Normal Strain,Strain Gauge 1/Poisson's Ratio -Ɛxx/Ɛyy,Strain Gauge 1/Axial Displacement dy,Strain Gauge 1/Transverse Displacement dx
ms,mm,kN,MPa,%,%,%,%,%,%,,mm,mm
0.00000,0.00000,0.03023,1.49648,0.00000,-0.00009,0.00038,0.00065,-0.00055,0.00084,0.00000,0.00055,0.00270
20.00000,0.00001,0.03037,1.50305,0.00000,0.00027,0.00582,0.00040,0.00005,0.00604,0.00000,0.00057,0.00102
40.00000,0.00010,0.03058,1.51342,0.00006,0.00073,0.00897,0.00016,0.00048,0.00922,0.00000,0.00064,-0.00047
60.00000,0.00040,0.03181,1.57438,0.00023,0.00115,0.00878,0.00017,0.00046,0.00948,0.00000,0.00093,-0.00059
80.00000,0.00096,0.03542,1.75320,0.00055,0.00158,0.00859,0.00019,0.00044,0.00974,0.00000,0.00121,-0.00071
100.00000,0.00167,0.04121,2.04002,0.00096,0.00201,0.00840,0.00020,0.00041,0.00999,0.00000,0.00149,-0.00082
120.00000,0.00240,0.04840,2.39560,0.00137,0.00243,0.00821,0.00022,0.00039,0.01025,0.00000,0.00177,-0.00094
140.00000,0.00309,0.05692,2.81740,0.00177,0.00286,0.00802,0.00023,0.00037,0.01051,0.00000,0.00205,-0.00106
160.00000,0.00373,0.06530,3.23194,0.00213,0.00329,0.00783,0.00024,0.00035,0.01077,0.00000,0.00233,-0.00118
180.00000,0.00433,0.07316,3.62103,0.00247,0.00371,0.00764,0.00026,0.00032,0.01103,0.00000,0.00261,-0.00130
200.00000,0.00493,0.08102,4.01013,0.00282,0.00414,0.00745,0.00027,0.00030,0.01129,0.00000,0.00289,-0.00142
220.00000,0.00556,0.08911,4.41053,0.00318,0.00457,0.00726,0.00029,0.00028,0.01155,0.00000,0.00318,-0.00154
240.00000,0.00624,0.09784,4.84288,0.00357,0.00499,0.00707,0.00030,0.00026,0.01181,0.00000,0.00346,-0.00166
260.00000,0.00696,0.10702,5.29705,0.00398,0.00542,0.00688,0.00032,0.00023,0.01207,0.00000,0.00374,-0.00178
280.00000,0.00768,0.11627,5.75507,0.00439,0.00585,0.00669,0.00033,0.00021,0.01233,0.00000,0.00402,-0.00189
300.00000,0.00835,0.12517,6.19557,0.00477,0.00627,0.00650,0.00035,0.00019,0.01258,0.00000,0.00430,-0.00201
320.00000,0.00898,0.13334,6.60014,0.00513,0.00670,0.00631,0.00036,0.00017,0.01284,0.00000,0.00458,-0.00213
340.00000,0.00958,0.14106,6.98193,0.00548,0.00713,0.00612,0.00038,0.00014,0.01310,0.00000,0.00486,-0.00225
360.00000,0.01020,0.14873,7.36174,0.00583,0.00755,0.00593,0.00039,0.00012,0.01336,0.00000,0.00514,-0.00237
380.00000,0.01088,0.15728,7.78514,0.00622,0.00798,0.00574,0.00040,0.00010,0.01362,0.00000,0.00542,-0.00249
400.00000,0.01160,0.16661,8.24676,0.00663,0.00841,0.00555,0.00042,0.00008,0.01388,0.00000,0.00571,-0.00261
420.00000,0.01232,0.17598,8.71074,0.00704,0.00883,0.00536,0.00043,0.00005,0.01414,0.00000,0.00599,-0.00273
440.00000,0.01300,0.18482,9.14821,0.00743,0.00926,0.00517,0.00045,0.00003,0.01440,0.00000,0.00627,-0.00285
460.00000,0.01364,0.19300,9.55273,0.00780,0.00969,0.00498,0.00046,0.00001,0.01466,0.00000,0.00655,-0.00296
480.00000,0.01426,0.20080,9.93891,0.00815,0.01011,0.00479,0.00048,-0.00001,0.01492,0.00000,0.00683,-0.00308
500.00000,0.01490,0.20881,10.33566,0.00851,0.01054,0.00460,0.00049,-0.00004,0.01518,0.00000,0.00711,-0.00320
520.00000,0.01557,0.21741,10.76128,0.00890,0.01097,0.00441,0.00051,-0.00006,0.01543,0.00000,0.00739,-0.00332
540.00000,0.01628,0.22653,11.21276,0.00931,0.01139,0.00422,0.00052,-0.00008,0.01569,0.00000,0.00767,-0.00344
560.00000,0.01701,0.23549,11.65602,0.00972,0.01182,0.00403,0.00054,-0.00010,0.01595,0.00000,0.00796,-0.00356
580.00000,0.01770,0.24429,12.09182,0.01011,0.01225,0.00384,0.00055,-0.00013,0.01621,0.00000,0.00824,-0.00368
600.00000,0.01834,0.25258,12.50220,0.01048,0.01268,0.00365,0.00056,-0.00015,0.01647,0.00000,0.00852,-0.00380
620.00000,0.01895,0.26008,12.87304,0.01083,0.01310,0.00345,0.00058,-0.00017,0.01673,0.00000,0.00880,-0.00391
640.00000,0.01957,0.26807,13.26866,0.01118,0.01353,0.00326,0.00059,-0.00020,0.01699,0.00000,0.00908,-0.00403
660.00000,0.02024,0.27657,13.68944,0.01156,0.01396,0.00307,0.00061,-0.00022,0.01725,0.00000,0.00936,-0.00415
680.00000,0.02095,0.28548,14.13054,0.01197,0.01438,0.00288,0.00062,-0.00024,0.01751,0.00000,0.00964,-0.00427
700.00000,0.02169,0.29481,14.59239,0.01239,0.01481,0.00269,0.00064,-0.00026,0.01777,0.00000,0.00992,-0.00439
720.00000,0.02239,0.30384,15.03930,0.01280,0.01524,0.00250,0.00065,-0.00029,0.01802,0.00000,0.01020,-0.00451
740.00000,0.02304,0.31181,15.43351,0.01317,0.01566,0.00231,0.00067,-0.00031,0.01828,0.00000,0.01049,-0.00463
760.00000,0.02365,0.31928,15.80348,0.01352,0.01609,0.00212,0.00068,-0.00033,0.01854,0.00000,0.01077,-0.00475
780.00000,0.02427,0.32722,16.19635,0.01387,0.01652,0.00193,0.00070,-0.00035,0.01880,0.00000,0.01105,-0.00487
800.00000,0.02492,0.33547,16.60477,0.01424,0.01694,0.00174,0.00071,-0.00038,0.01906,0.00000,0.01133,-0.00498
820.00000,0.02562,0.34423,17.03845,0.01464,0.01737,0.00155,0.00072,-0.00040,0.01932,0.00000,0.01161,-0.00510
840.00000,0.02634,0.35342,17.49352,0.01505,0.01780,0.00136,0.00074,-0.00042,0.01958,0.00000,0.01189,-0.00522
860.00000,0.02707,0.36253,17.94434,0.01547,0.01822,0.00117,0.00075,-0.00044,0.01984,0.00000,0.01217,-0.00534
880.00000,0.02774,0.37094,18.36069,0.01585,0.01865,0.00098,0.00077,-0.00047,0.02010,0.00000,0.01245,-0.00546
900.00000,0.02836,0.37869,18.74393,0.01621,0.01908,0.00079,0.00078,-0.00049,0.02036,0.00000,0.01274,-0.00558
920.00000,0.02897,0.38638,19.12465,0.01656,0.01950,0.00060,0.00080,-0.00051,0.02061,0.00000,0.01302,-0.00570
940.00000,0.02962,0.39442,19.52259,0.01692,0.01993,0.00041,0.00081,-0.00053,0.02087,0.00000,0.01330,-0.00582
960.00000,0.03031,0.40311,19.95264,0.01732,0.02036,0.00022,0.00083,-0.00056,0.02113,0.00000,0.01358,-0.00594
980.00000,0.03104,0.41226,20.40587,0.01774,0.02078,0.00003,0.00084,-0.00058,0.02139,0.00000,0.01386,-0.00605
1000.00000,0.03176,0.42129,20.85283,0.01815,0.02121,-0.00016,0.00086,-0.00060,0.02165,0.00000,0.01414,-0.00617
1020.00000,0.03243,0.42967,21.26754,0.01853,0.02164,-0.00035,0.00087,-0.00062,0.02191,0.00000,0.01442,-0.00629
1040.00000,0.03304,0.43736,21.64817,0.01888,0.02206,-0.00054,0.00088,-0.00065,0.02217,0.00000,0.01470,-0.00641
1060.00000,0.03364,0.44476,22.01417,0.01922,0.02249,-0.00063,0.00091,-0.00067,0.02252,0.00000,0.01496,-0.00651
1080.00000,0.03425,0.45260,22.40258,0.01957,0.02291,-0.00065,0.00093,-0.00068,0.02294,0.00000,0.01519,-0.00659
1100.00000,0.03491,0.46071,22.80379,0.01995,0.02333,-0.00066,0.00096,-0.00070,0.02336,0.00000,0.01543,-0.00668
1120.00000,0.03560,0.46935,23.23161,0.02034,0.02375,-0.00068,0.00098,-0.00072,0.02379,0.00000,0.01566,-0.00676
1140.00000,0.03630,0.47803,23.66122,0.02074,0.02417,-0.00070,0.00101,-0.00074,0.02421,0.00000,0.01590,-0.00685
1160.00000,0.03698,0.48652,24.08143,0.02113,0.02459,-0.00071,0.00104,-0.00076,0.02463,0.00000,0.01613,-0.00693
1180.00000,0.03762,0.49459,24.48100,0.02150,0.02501,-0.00073,0.00106,-0.00077,0.02505,0.00000,0.01637,-0.00701
1200.00000,0.03823,0.50236,24.86561,0.02185,0.02542,-0.00075,0.00109,-0.00079,0.02547,0.00000,0.01660,-0.00710
1220.00000,0.03884,0.51005,25.24595,0.02220,0.02584,-0.00076,0.00111,-0.00081,0.02589,0.00000,0.01684,-0.00718
1240.00000,0.03949,0.51822,25.65040,0.02256,0.02626,-0.00078,0.00114,-0.00083,0.02631,0.00000,0.01707,-0.00727
1260.00000,0.04019,0.52689,26.07946,0.02296,0.02668,-0.00080,0.00117,-0.00085,0.02673,0.00000,0.01730,-0.00735
1280.00000,0.04091,0.53606,26.53364,0.02338,0.02710,-0.00081,0.00119,-0.00087,0.02716,0.00000,0.01754,-0.00743
1300.00000,0.04162,0.54493,26.97266,0.02378,0.02752,-0.00083,0.00122,-0.00088,0.02758,0.00000,0.01777,-0.00752
1320.00000,0.04228,0.55317,27.38021,0.02416,0.02794,-0.00085,0.00124,-0.00090,0.02800,0.00000,0.01801,-0.00760
1340.00000,0.04291,0.56074,27.75513,0.02452,0.02836,-0.00086,0.00127,-0.00092,0.02842,0.00000,0.01824,-0.00769
1360.00000,0.04353,0.56839,28.13372,0.02488,0.02878,-0.00088,0.00130,-0.00094,0.02884,0.00000,0.01848,-0.00777
1380.00000,0.04418,0.57660,28.53986,0.02524,0.02920,-0.00090,0.00132,-0.00096,0.02926,0.00000,0.01871,-0.00785
1400.00000,0.04487,0.58507,28.95928,0.02564,0.02962,-0.00091,0.00135,-0.00097,0.02968,0.00000,0.01895,-0.00794
1420.00000,0.04559,0.59414,29.40820,0.02605,0.03004,-0.00093,0.00137,-0.00099,0.03010,0.00000,0.01918,-0.00802
1440.00000,0.04630,0.60329,29.86089,0.02646,0.03046,-0.00095,0.00140,-0.00101,0.03052,0.00000,0.01942,-0.00811
1460.00000,0.04696,0.61155,30.27018,0.02684,0.03088,-0.00096,0.00143,-0.00103,0.03095,0.00000,0.01965,-0.00819
1480.00000,0.04758,0.61906,30.64181,0.02719,0.03130,-0.00098,0.00145,-0.00105,0.03137,0.00000,0.01989,-0.00827
1500.00000,0.04818,0.62637,31.00348,0.02753,0.03172,-0.00100,0.00148,-0.00107,0.03179,0.00000,0.02012,-0.00836
1520.00000,0.04880,0.63411,31.38652,0.02789,0.03214,-0.00101,0.00150,-0.00108,0.03221,0.00000,0.02036,-0.00844
1540.00000,0.04947,0.64242,31.79803,0.02827,0.03256,-0.00103,0.00153,-0.00110,0.03263,0.00000,0.02059,-0.00853
1560.00000,0.05019,0.65156,32.25044,0.02868,0.03298,-0.00105,0.00155,-0.00112,0.03305,0.00000,0.02083,-0.00861
1580.00000,0.05093,0.66078,32.70676,0.02910,0.03340,-0.00107,0.00158,-0.00114,0.03347,0.00000,0.02106,-0.00870
1600.00000,0.05164,0.66955,33.14069,0.02951,0.03382,-0.00108,0.00161,-0.00116,0.03389,0.00000,0.02129,-0.00878
1620.00000,0.05228,0.67750,33.53419,0.02988,0.03424,-0.00110,0.00163,-0.00117,0.03431,0.00000,0.02153,-0.00886
1640.00000,0.05289,0.68497,33.90423,0.03023,0.03466,-0.00112,0.00166,-0.00119,0.03474,0.00000,0.02176,-0.00895
1660.00000,0.05351,0.69239,34.27107,0.03058,0.03508,-0.00113,0.00168,-0.00121,0.03516,0.00000,0.02200,-0.00903
1680.00000,0.05417,0.70061,34.67838,0.03096,0.03550,-0.00115,0.00171,-0.00123,0.03558,0.00000,0.02223,-0.00912
1700.00000,0.05488,0.70947,35.11654,0.03136,0.03592,-0.00117,0.00174,-0.00125,0.03600,0.00000,0.02247,-0.00920
1720.00000,0.05561,0.71854,35.56559,0.03178,0.03634,-0.00118,0.00176,-0.00127,0.03642,0.00000,0.02270,-0.00928
1740.00000,0.05631,0.72736,36.00241,0.03218,0.03676,-0.00120,0.00179,-0.00128,0.03684,0.00000,0.02294,-0.00937
1760.00000,0.05697,0.73539,36.39989,0.03256,0.03718,-0.00122,0.00181,-0.00130,0.03726,0.00000,0.02317,-0.00945
1780.00000,0.05759,0.74304,36.77851,0.03291,0.03760,-0.00123,0.00184,-0.00132,0.03768,0.00000,0.02341,-0.00954
1800.00000,0.05821,0.75065,37.15498,0.03327,0.03802,-0.00125,0.00187,-0.00134,0.03811,0.00000,0.02364,-0.00962
1820.00000,0.05887,0.75871,37.55390,0.03364,0.03844,-0.00127,0.00189,-0.00136,0.03853,0.00000,0.02388,-0.00970
1840.00000,0.05957,0.76750,37.98888,0.03404,0.03886,-0.00128,0.00192,-0.00137,0.03895,0.00000,0.02411,-0.00979
1860.00000,0.06032,0.77696,38.45736,0.03447,0.03928,-0.00130,0.00194,-0.00139,0.03937,0.00000,0.02435,-0.00987
1880.00000,0.06104,0.78580,38.89485,0.03488,0.03970,-0.00132,0.00197,-0.00141,0.03979,0.00000,0.02458,-0.00996
1900.00000,0.06168,0.79373,39.28727,0.03525,0.04011,-0.00133,0.00200,-0.00143,0.04021,0.00000,0.02482,-0.01004
1920.00000,0.06229,0.80113,39.65359,0.03560,0.04053,-0.00135,0.00202,-0.00145,0.04063,0.00000,0.02505,-0.01012
1940.00000,0.06291,0.80851,40.01899,0.03595,0.04095,-0.00137,0.00205,-0.00147,0.04105,0.00000,0.02528,-0.01021
1960.00000,0.06354,0.81651,40.41479,0.03631,0.04137,-0.00138,0.00207,-0.00148,0.04147,0.00000,0.02552,-0.01029
1980.00000,0.06421,0.82483,40.82655,0.03669,0.04179,-0.00140,0.00210,-0.00150,0.04190,0.00000,0.02575,-0.01038
2000.00000,0.06492,0.83361,41.26117,0.03710,0.04221,-0.00142,0.00213,-0.00152,0.04232,0.00000,0.02599,-0.01046
2020.00000,0.06563,0.84246,41.69926,0.03750,0.04263,-0.00143,0.00215,-0.00154,0.04274,0.00000,0.02622,-0.01054
2040.00000,0.06630,0.85090,42.11701,0.03789,0.04305,-0.00145,0.00218,-0.00156,0.04316,0.00000,0.02646,-0.01063
2060.00000,0.06694,0.85858,42.49722,0.03825,0.04347,-0.00147,0.00220,-0.00157,0.04358,0.00000,0.02669,-0.01071
2080.00000,0.06756,0.86618,42.87325,0.03861,0.04385,-0.00145,0.00221,-0.00156,0.04396,0.00000,0.02702,-0.01080
2100.00000,0.06820,0.87407,43.26405,0.03897,0.04422,-0.00143,0.00221,-0.00154,0.04432,0.00000,0.02736,-0.01088
2120.00000,0.06889,0.88245,43.67884,0.03937,0.04458,-0.00141,0.00220,-0.00152,0.04469,0.00000,0.02771,-0.01097
2140.00000,0.06963,0.89145,44.12437,0.03979,0.04495,-0.00139,0.00220,-0.00150,0.04506,0.00000,0.02805,-0.01106
2160.00000,0.07036,0.90062,44.57819,0.04021,0.04532,-0.00137,0.00220,-0.00147,0.04542,0.00000,0.02840,-0.01114
2180.00000,0.07105,0.90914,44.99976,0.04060,0.04568,-0.00135,0.00220,-0.00145,0.04579,0.00000,0.02874,-0.01123
2200.00000,0.07168,0.91693,45.38562,0.04096,0.04605,-0.00133,0.00219,-0.00143,0.04615,0.00000,0.02909,-0.01131
2220.00000,0.07229,0.92441,45.75543,0.04131,0.04642,-0.00131,0.00219,-0.00141,0.04652,0.00000,0.02943,-0.01140
2240.00000,0.07291,0.93197,46.12981,0.04166,0.04678,-0.00129,0.00219,-0.00139,0.04689,0.00000,0.02978,-0.01148
2260.00000,0.07357,0.93999,46.52703,0.04204,0.04715,-0.00126,0.00219,-0.00137,0.04725,0.00000,0.03013,-0.01157
2280.00000,0.07428,0.94882,46.96394,0.04244,0.04752,-0.00124,0.00218,-0.00134,0.04762,0.00000,0.03047,-0.01165
2300.00000,0.07500,0.95790,47.41322,0.04286,0.04789,-0.00122,0.00218,-0.00132,0.04798,0.00000,0.03082,-0.01174
2320.00000,0.07572,0.96675,47.85130,0.04327,0.04825,-0.00120,0.00218,-0.00130,0.04835,0.00000,0.03116,-0.01183
2340.00000,0.07638,0.97491,48.25545,0.04365,0.04862,-0.00118,0.00218,-0.00128,0.04872,0.00000,0.03151,-0.01191
2360.00000,0.07700,0.98240,48.62609,0.04400,0.04899,-0.00116,0.00218,-0.00126,0.04908,0.00000,0.03185,-0.01200
2380.00000,0.07762,0.98988,48.99614,0.04435,0.04935,-0.00114,0.00217,-0.00123,0.04945,0.00000,0.03220,-0.01208
2400.00000,0.07827,0.99786,49.39119,0.04472,0.04972,-0.00112,0.00217,-0.00121,0.04981,0.00000,0.03255,-0.01217
2420.00000,0.07897,1.00643,49.81543,0.04512,0.05009,-0.00110,0.00217,-0.00119,0.05018,0.00000,0.03289,-0.01225
2440.00000,0.07970,1.01550,50.26412,0.04554,0.05045,-0.00107,0.00217,-0.00117,0.05055,0.00000,0.03324,-0.01234
2460.00000,0.08040,1.02415,50.69265,0.04594,0.05082,-0.00105,0.00216,-0.00115,0.05091,0.00000,0.03358,-0.01243
2480.00000,0.08105,1.03201,51.08159,0.04632,0.05119,-0.00103,0.00216,-0.00113,0.05128,0.00000,0.03393,-0.01251
2500.00000,0.08166,1.03940,51.44723,0.04666,0.05155,-0.00101,0.00216,-0.00110,0.05165,0.00000,0.03427,-0.01260
2520.00000,0.08226,1.04666,51.80654,0.04701,0.05192,-0.00099,0.00216,-0.00108,0.05201,0.00000,0.03462,-0.01268
2540.00000,0.08289,1.05440,52.18961,0.04737,0.05229,-0.00097,0.00215,-0.00106,0.05238,0.00000,0.03496,-0.01277
2560.00000,0.08357,1.06278,52.60466,0.04776,0.05265,-0.00095,0.00215,-0.00104,0.05274,0.00000,0.03531,-0.01285
2580.00000,0.08429,1.07169,53.04548,0.04817,0.05302,-0.00093,0.00215,-0.00102,0.05311,0.00000,0.03566,-0.01294
2600.00000,0.08502,1.08062,53.48742,0.04858,0.05339,-0.00091,0.00215,-0.00099,0.05348,0.00000,0.03600,-0.01303
2620.00000,0.08571,1.08903,53.90396,0.04898,0.05375,-0.00089,0.00215,-0.00097,0.05384,0.00000,0.03635,-0.01311
2640.00000,0.08635,1.09687,54.29193,0.04934,0.05412,-0.00086,0.00214,-0.00095,0.05421,0.00000,0.03669,-0.01320
2660.00000,0.08697,1.10444,54.66650,0.04970,0.05449,-0.00084,0.00214,-0.00093,0.05457,0.00000,0.03704,-0.01328
2680.00000,0.08761,1.11230,55.05540,0.05007,0.05485,-0.00082,0.00214,-0.00091,0.05494,0.00000,0.03738,-0.01337
2700.00000,0.08830,1.12074,55.47344,0.05046,0.05522,-0.00080,0.00214,-0.00089,0.05531,0.00000,0.03773,-0.01345
2720.00000,0.08902,1.12966,55.91495,0.05087,0.05559,-0.00078,0.00213,-0.00086,0.05567,0.00000,0.03808,-0.01354
2740.00000,0.08974,1.13855,56.35475,0.05128,0.05596,-0.00076,0.00213,-0.00084,0.05604,0.00000,0.03842,-0.01362
2760.00000,0.09041,1.14660,56.75344,0.05166,0.05632,-0.00074,0.00213,-0.00082,0.05640,0.00000,0.03877,-0.01371
2780.00000,0.09104,1.15417,57.12788,0.05202,0.05669,-0.00072,0.00213,-0.00080,0.05677,0.00000,0.03911,-0.01380
2800.00000,0.09165,1.16155,57.49325,0.05237,0.05706,-0.00070,0.00212,-0.00078,0.05714,0.00000,0.03946,-0.01388
2820.00000,0.09228,1.16908,57.86627,0.05273,0.05742,-0.00067,0.00212,-0.00075,0.05750,0.00000,0.03980,-0.01397
2840.00000,0.09295,1.17725,58.27063,0.05311,0.05779,-0.00065,0.00212,-0.00073,0.05787,0.00000,0.04015,-0.01405
2860.00000,0.09366,1.18587,58.69719,0.05352,0.05816,-0.00063,0.00212,-0.00071,0.05823,0.00000,0.04049,-0.01414
2880.00000,0.09437,1.19459,59.12897,0.05392,0.05852,-0.00061,0.00212,-0.00069,0.05860,0.00000,0.04084,-0.01422
2900.00000,0.09504,1.20283,59.53655,0.05431,0.05889,-0.00059,0.00211,-0.00067,0.05897,0.00000,0.04119,-0.01431
2920.00000,0.09567,1.21047,59.91491,0.05467,0.05926,-0.00057,0.00211,-0.00065,0.05933,0.00000,0.04153,-0.01440
2940.00000,0.09627,1.21770,60.27251,0.05501,0.05962,-0.00055,0.00211,-0.00062,0.05970,0.00000,0.04188,-0.01448
2960.00000,0.09687,1.22495,60.63145,0.05536,0.05999,-0.00053,0.00211,-0.00060,0.06006,0.00000,0.04222,-0.01457
2980.00000,0.09751,1.23279,61.01961,0.05572,0.06036,-0.00051,0.00210,-0.00058,0.06043,0.00000,0.04257,-0.01465
3000.00000,0.09820,1.24139,61.44508,0.05611,0.06072,-0.00049,0.00210,-0.00056,0.06080,0.00000,0.04291,-0.01474
3020.00000,0.09893,1.25025,61.88399,0.05653,0.06109,-0.00046,0.00210,-0.00054,0.06116,0.00000,0.04326,-0.01482
3040.00000,0.09965,1.25930,62.33187,0.05694,0.06146,-0.00044,0.00210,-0.00051,0.06153,0.00000,0.04361,-0.01491
3060.00000,0.10032,1.26744,62.73438,0.05733,0.06182,-0.00042,0.00209,-0.00049,0.06190,0.00000,0.04395,-0.01500
3080.00000,0.10095,1.27492,63.10500,0.05769,0.06219,-0.00040,0.00209,-0.00047,0.06226,0.00000,0.04430,-0.01508
3100.00000,0.10157,1.28229,63.46967,0.05804,0.06255,-0.00042,0.00211,-0.00049,0.06262,0.00000,0.04466,-0.01514
3120.00000,0.10221,1.29002,63.85223,0.05841,0.06291,-0.00046,0.00213,-0.00053,0.06298,0.00000,0.04502,-0.01519
3140.00000,0.10288,1.29827,64.26083,0.05879,0.06327,-0.00049,0.00216,-0.00057,0.06334,0.00000,0.04538,-0.01523
3160.00000,0.10360,1.30700,64.69290,0.05920,0.06363,-0.00053,0.00218,-0.00060,0.06370,0.00000,0.04575,-0.01528
3180.00000,0.10431,1.31595,65.13586,0.05961,0.06399,-0.00056,0.00220,-0.00064,0.06406,0.00000,0.04611,-0.01533
3200.00000,0.10498,1.32402,65.53501,0.05999,0.06435,-0.00060,0.00223,-0.00068,0.06442,0.00000,0.04647,-0.01537
3220.00000,0.10560,1.33128,65.89455,0.06034,0.06470,-0.00063,0.00225,-0.00071,0.06478,0.00000,0.04684,-0.01542
3240.00000,0.10619,1.33835,66.24434,0.06068,0.06506,-0.00067,0.00228,-0.00075,0.06514,0.00000,0.04720,-0.01547
3260.00000,0.10680,1.34569,66.60755,0.06103,0.06542,-0.00071,0.00230,-0.00079,0.06550,0.00000,0.04756,-0.01552
3280.00000,0.10745,1.35346,66.99261,0.06140,0.06578,-0.00074,0.00232,-0.00082,0.06586,0.00000,0.04793,-0.01556
3300.00000,0.10815,1.36200,67.41483,0.06180,0.06614,-0.00078,0.00235,-0.00086,0.06622,0.00000,0.04829,-0.01561
3320.00000,0.10888,1.37120,67.87023,0.06222,0.06650,-0.00081,0.00237,-0.00090,0.06658,0.00000,0.04866,-0.01566
3340.00000,0.10959,1.37982,68.29690,0.06263,0.06686,-0.00085,0.00240,-0.00093,0.06694,0.00000,0.04902,-0.01570
3360.00000,0.11026,1.38792,68.69782,0.06300,0.06722,-0.00088,0.00242,-0.00097,0.06730,0.00000,0.04938,-0.01575
3380.00000,0.11088,1.39542,69.06937,0.06336,0.06757,-0.00092,0.00244,-0.00101,0.06766,0.00000,0.04975,-0.01580
3400.00000,0.11151,1.40273,69.43105,0.06372,0.06793,-0.00095,0.00247,-0.00104,0.06802,0.00000,0.05011,-0.01584
3420.00000,0.11216,1.41073,69.82713,0.06409,0.06829,-0.00099,0.00249,-0.00108,0.06838,0.00000,0.05047,-0.01589
3440.00000,0.11287,1.41935,70.25394,0.06449,0.06865,-0.00102,0.00251,-0.00112,0.06874,0.00000,0.05084,-0.01594
3460.00000,0.11359,1.42814,70.68896,0.06491,0.06901,-0.00106,0.00254,-0.00115,0.06910,0.00000,0.05120,-0.01599
3480.00000,0.11429,1.43652,71.10355,0.06531,0.06937,-0.00109,0.00256,-0.00119,0.06946,0.00000,0.05156,-0.01603
3500.00000,0.11495,1.44452,71.49974,0.06569,0.06973,-0.00113,0.00259,-0.00123,0.06982,0.00000,0.05193,-0.01608
3520.00000,0.11558,1.45216,71.87769,0.06605,0.07008,-0.00117,0.00261,-0.00126,0.07018,0.00000,0.05229,-0.01613
3540.00000,0.11622,1.45972,72.25199,0.06641,0.07044,-0.00120,0.00263,-0.00130,0.07054,0.00000,0.05265,-0.01617
3560.00000,0.11689,1.46778,72.65103,0.06679,0.07080,-0.00124,0.00266,-0.00133,0.07090,0.00000,0.05302,-0.01622
3580.00000,0.11760,1.47647,73.08115,0.06720,0.07116,-0.00127,0.00268,-0.00137,0.07126,0.00000,0.05338,-0.01627
3600.00000,0.11834,1.48550,73.52793,0.06762,0.07152,-0.00131,0.00271,-0.00141,0.07162,0.00000,0.05375,-0.01632
3620.00000,0.11906,1.49412,73.95475,0.06803,0.07188,-0.00134,0.00273,-0.00144,0.07198,0.00000,0.05411,-0.01636
3640.00000,0.11971,1.50207,74.34832,0.06841,0.07224,-0.00138,0.00275,-0.00148,0.07234,0.00000,0.05447,-0.01641
3660.00000,0.12032,1.50926,74.70393,0.06875,0.07260,-0.00141,0.00278,-0.00152,0.07270,0.00000,0.05484,-0.01646
3680.00000,0.12092,1.51640,75.05754,0.06910,0.07295,-0.00145,0.00280,-0.00155,0.07306,0.00000,0.05520,-0.01650
3700.00000,0.12155,1.52382,75.42462,0.06946,0.07331,-0.00148,0.00282,-0.00159,0.07342,0.00000,0.05556,-0.01655
3720.00000,0.12222,1.53208,75.83371,0.06984,0.07367,-0.00152,0.00285,-0.00163,0.07378,0.00000,0.05593,-0.01660
3740.00000,0.12292,1.54072,76.26130,0.07024,0.07403,-0.00156,0.00287,-0.00166,0.07414,0.00000,0.05629,-0.01665
3760.00000,0.12364,1.54931,76.68654,0.07065,0.07439,-0.00159,0.00290,-0.00170,0.07450,0.00000,0.05665,-0.01669
3780.00000,0.12433,1.55757,77.09534,0.07104,0.07475,-0.00163,0.00292,-0.00174,0.07486,0.00000,0.05702,-0.01674
3800.00000,0.12497,1.56538,77.48162,0.07141,0.07511,-0.00166,0.00294,-0.00177,0.07522,0.00000,0.05738,-0.01679
3820.00000,0.12559,1.57277,77.84750,0.07176,0.07547,-0.00170,0.00297,-0.00181,0.07558,0.00000,0.05775,-0.01683
3840.00000,0.12622,1.58014,78.21223,0.07212,0.07582,-0.00173,0.00299,-0.00185,0.07594,0.00000,0.05811,-0.01688
3860.00000,0.12689,1.58822,78.61238,0.07251,0.07618,-0.00177,0.00302,-0.00188,0.07630,0.00000,0.05847,-0.01693
3880.00000,0.12761,1.59704,79.04897,0.07292,0.07654,-0.00180,0.00304,-0.00192,0.07666,0.00000,0.05884,-0.01697
3900.00000,0.12835,1.60590,79.48722,0.07334,0.07690,-0.00184,0.00306,-0.00196,0.07702,0.00000,0.05920,-0.01702
3920.00000,0.12905,1.61440,79.90822,0.07374,0.07726,-0.00187,0.00309,-0.00199,0.07738,0.00000,0.05956,-0.01707
3940.00000,0.12969,1.62205,80.28680,0.07411,0.07762,-0.00191,0.00311,-0.00203,0.07774,0.00000,0.05993,-0.01712
3960.00000,0.13030,1.62920,80.64051,0.07446,0.07798,-0.00194,0.00313,-0.00207,0.07810,0.00000,0.06029,-0.01716
3980.00000,0.13091,1.63647,81.00073,0.07481,0.07833,-0.00198,0.00316,-0.00210,0.07846,0.00000,0.06065,-0.01721
4000.00000,0.13156,1.64409,81.37794,0.07517,0.07869,-0.00202,0.00318,-0.00214,0.07882,0.00000,0.06102,-0.01726
